Date,Open,High,Low,Close,Adj.Close,Volume,Company
03/12/2019,83.449997,84.213501,83.049004,83.654999,83.654999,72290000,Amazon
03/13/2019,84.150002,85,83.967499,84.540497,84.540497,71040000,Amazon
03/14/2019,84.559998,85.099998,84.217003,84.310997,84.310997,58932000,Amazon
03/15/2019,85.150002,85.940002,84.656502,85.617996,85.617996,151018000,Amazon
03/18/2019,85.635002,87.5,85.6315,87.107498,87.107498,108582000,Amazon
03/19/2019,87.675499,89.208,87.675499,88.092499,88.092499,127284000,Amazon
03/20/2019,88.497002,89.974998,88.351501,89.863503,89.863503,125312000,Amazon
03/21/2019,89.813004,91.1875,89.363998,90.962997,90.962997,115356000,Amazon
03/22/2019,90.508499,90.948997,88.155502,88.238503,88.238503,127260000,Amazon
03/25/2019,87.889503,89.134003,87.375,88.712997,88.712997,102076000,Amazon
03/26/2019,89.650002,90.288498,88.667999,89.188004,89.188004,97318000,Amazon
03/27/2019,89.206497,89.375,87.283997,88.285004,88.285004,86496000,Amazon
03/28/2019,88.5,88.8965,87.6735,88.670998,88.670998,60860000,Amazon
03/29/2019,89.329002,89.642998,88.831497,89.037498,89.037498,66416000,Amazon
04/01/2019,90.005501,90.783501,89.936501,90.709503,90.709503,84776000,Amazon
04/02/2019,90.551003,91,90.255997,90.698997,90.698997,68962000,Amazon
04/03/2019,91.335999,91.5,90.481003,91.035004,91.035004,78522000,Amazon
04/04/2019,91.032501,91.4375,90.209999,90.943001,90.943001,72478000,Amazon
04/05/2019,91.449997,91.929001,91.259499,91.863998,91.863998,72810000,Amazon
04/08/2019,91.661499,92.510002,91.255501,92.492996,92.492996,75056000,Amazon
04/09/2019,92.274498,92.654503,91.588997,91.792,91.792,74288000,Amazon
04/10/2019,92.050003,92.400002,91.440498,92.366501,92.366501,59280000,Amazon
04/11/2019,92.434998,92.497498,92.015503,92.203499,92.203499,53096000,Amazon
04/12/2019,92.419998,92.574997,92.065002,92.153,92.153,62288000,Amazon
04/15/2019,92.099998,92.342499,90.945,92.2435,92.2435,74488000,Amazon
04/16/2019,92.567497,93.488503,92.400002,93.152,93.152,60892000,Amazon
04/17/2019,93.649498,93.823502,93.022003,93.240997,93.240997,57870000,Amazon
04/18/2019,93.439499,93.541,92.973999,93.084503,93.084503,54998000,Amazon
04/22/2019,92.769997,94.420998,92.281998,94.365501,94.365501,67476000,Amazon
04/23/2019,94.559998,96.462997,94.478996,96.188499,96.188499,92808000,Amazon
04/24/2019,96.25,96.484497,94.907997,95.087502,95.087502,73516000,Amazon
04/25/2019,95.849998,96.122498,95.015503,95.112503,95.112503,121982000,Amazon
04/26/2019,96.449997,97.550003,94.900002,97.531502,97.531502,168652000,Amazon
04/29/2019,97.449997,97.817001,96.704498,96.921501,96.921501,80426000,Amazon
04/30/2019,96.504997,96.7855,95.347504,96.325996,96.325996,70120000,Amazon
05/01/2019,96.654503,97.181999,95.527496,95.575996,95.575996,62340000,Amazon
05/02/2019,95.666496,96.077499,94.093498,95.041,95.041,79258000,Amazon
05/03/2019,97.449997,98.220001,96.800003,98.123001,98.123001,127632000,Amazon
05/06/2019,95.899002,97.949997,95.525002,97.527496,97.527496,108356000,Amazon
05/07/2019,96.999496,97.455002,95.168999,96.050003,96.050003,118042000,Amazon
05/08/2019,95.943497,96.768501,95.5,95.888496,95.888496,81572000,Amazon
05/09/2019,95,95.470001,93.800003,94.9935,94.9935,106166000,Amazon
05/10/2019,94.900002,95.189499,92.800003,94.499001,94.499001,114360000,Amazon
